Day,initial MSE,MSE,score,t-waypoints scheduled,total_time_sec,nodes_expanded
0,0.4703135423615744,0.4703135423615744,0.0,2,69.62324213981628,2
0,0.4703135423615744,0.4881548214881548,-3.7934861575523433,3,139.3495409488678,3
0,0.4703135423615744,0.47897196261682246,-1.840988930867634,4,209.30880856513977,4
0,0.4703135423615744,0.46143572621035056,1.8876377887495814,5,279.19814133644104,5
0,0.4703135423615744,0.4619238476953908,1.7838513907247138,6,349.2751307487488,6
0,0.4703135423615744,0.45506181089208153,3.2428858826623865,7,419.29617977142334,7
1,0.4703135423615744,0.4642379679144385,1.2918136306747137,2,70.27485728263855,2
1,0.4703135423615744,0.4633901705115346,1.4720758018737166,3,140.61571383476257,3
1,0.4703135423615744,0.457190635451505,2.790246447970784,4,209.86225152015686,4
1,0.4703135423615744,0.4526597524255604,3.7536214346219876,5,279.2647156715393,5
1,0.4703135423615744,0.44946452476572957,4.433003883144883,6,348.8947448730469,6
1,0.4703135423615744,0.4455975895547372,5.255207554248079,7,418.44563841819763,7
2,0.4703135423615744,0.4350301406563965,7.502102007952012,2,69.52258825302124,2
2,0.4703135423615744,0.4324958123953099,8.040961307720643,3,139.3303587436676,3
2,0.4703135423615744,0.43063002680965146,8.43767231380603,4,209.30013036727905,4
2,0.4703135423615744,0.42541066040898423,9.547435467650024,5,279.3825099468231,5
2,0.4703135423615744,0.4255533199195171,9.517102615694169,6,349.7316150665283,6
2,0.4703135423615744,0.4287151962428715,8.844811465522783,7,420.17860555648804,7
