,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
greedy,0.25,0.242424242,0.234693878,0.226804124,0.229166667,0.210526316,0.223404255,0.215053763,0.217391304,0.21978022,0.222222222,0.213483146,0.204545455,0.183908046,,,,,,,,,,,
random,0.25,0.24,0.232323232,0.242424242,0.242424242,0.224489796,0.224489796,0.224489796,0.224489796,0.234693878,0.234693878,0.234693878,0.234693878,0.234693878,0.234693878,0.234693878,0.234693878,0.234693878,0.234693878,0.234693878,0.234693878,0.234693878,0.234693878,0.234693878,0.234693878
