MSE,score,initial MSE,t-waypoints scheduled,total_time_sec,nodes_expanded
0.5294117647058824,0.0,0.5294117647058824,2,0.028507709503173828,2
0.45454545454545453,0.14141414141414146,0.5294117647058824,3,0.05876278877258301,3
0.4375,0.17361111111111113,0.5294117647058824,4,0.08945250511169434,4
0.1935483870967742,0.6344086021505376,0.5294117647058824,4,0.12081289291381836,4
0.1935483870967742,0.6344086021505376,0.5294117647058824,5,0.17068696022033691,6
0.2,0.6222222222222222,0.5294117647058824,6,0.21296977996826172,7
0.13793103448275862,0.7394636015325671,0.5294117647058824,7,0.2662227153778076,8
0.14285714285714285,0.7301587301587302,0.5294117647058824,7,0.3157463073730469,8
0.14285714285714285,0.7301587301587302,0.5294117647058824,8,0.37805891036987305,9
0.14814814814814814,0.720164609053498,0.5294117647058824,9,0.45202040672302246,10
0.15384615384615385,0.7094017094017094,0.5294117647058824,9,4.198671817779541,12
0.15384615384615385,0.7094017094017094,0.5294117647058824,9,4.281117677688599,12
0.15384615384615385,0.7094017094017094,0.5294117647058824,9,52.49872374534607,18
0.15384615384615385,0.7094017094017094,0.5294117647058824,9,52.577606439590454,18
0.15384615384615385,0.7094017094017094,0.5294117647058824,9,67.65459632873535,20
0.15384615384615385,0.7094017094017094,0.5294117647058824,9,82.66744136810303,25
0.15384615384615385,0.7094017094017094,0.5294117647058824,9,82.74740862846375,25
0.15384615384615385,0.7094017094017094,0.5294117647058824,10,82.86390423774719,27
0.16,0.6977777777777777,0.5294117647058824,10,82.9734034538269,27
0.16,0.6977777777777777,0.5294117647058824,10,99.18900942802429,28
0.16,0.6977777777777777,0.5294117647058824,10,99.3045334815979,29
0.16,0.6977777777777777,0.5294117647058824,10,99.46372938156128,31
0.16,0.6977777777777777,0.5294117647058824,10,99.56267929077148,31
0.16,0.6977777777777777,0.5294117647058824,10,99.6656744480133,31
0.16,0.6977777777777777,0.5294117647058824,10,99.76974415779114,31
0.16,0.6977777777777777,0.5294117647058824,10,99.87011528015137,31
0.16,0.6977777777777777,0.5294117647058824,10,99.97443056106567,31
0.16,0.6977777777777777,0.5294117647058824,10,100.08327174186707,31
0.16,0.6977777777777777,0.5294117647058824,10,100.1881115436554,31
0.16,0.6977777777777777,0.5294117647058824,10,114.03080415725708,32
0.16,0.6977777777777777,0.5294117647058824,10,114.13635969161987,32
0.16,0.6977777777777777,0.5294117647058824,10,114.24951434135437,32
0.16,0.6977777777777777,0.5294117647058824,10,114.35146689414978,32
0.16,0.6977777777777777,0.5294117647058824,10,153.226313829422,33
0.16,0.6977777777777777,0.5294117647058824,10,153.32980370521545,33
0.16,0.6977777777777777,0.5294117647058824,10,153.44425797462463,33
0.16,0.6977777777777777,0.5294117647058824,10,153.57631850242615,34
0.16,0.6977777777777777,0.5294117647058824,10,153.68105840682983,34
0.16,0.6977777777777777,0.5294117647058824,10,153.7877640724182,34
0.16,0.6977777777777777,0.5294117647058824,10,153.8928406238556,34
0.16,0.6977777777777777,0.5294117647058824,10,153.9914083480835,34
0.16,0.6977777777777777,0.5294117647058824,10,170.5508530139923,35
0.16,0.6977777777777777,0.5294117647058824,10,170.69630360603333,35
0.16,0.6977777777777777,0.5294117647058824,10,170.79601550102234,35
0.16,0.6977777777777777,0.5294117647058824,10,170.91087293624878,35
0.16,0.6977777777777777,0.5294117647058824,10,171.0054693222046,35
0.16,0.6977777777777777,0.5294117647058824,10,171.10210347175598,35
0.16,0.6977777777777777,0.5294117647058824,10,171.21450996398926,35
0.2,0.6222222222222222,0.5294117647058824,10,171.32218027114868,35
0.16,0.6977777777777777,0.5294117647058824,10,171.43287301063538,35
0.16,0.6977777777777777,0.5294117647058824,10,171.56508922576904,35
0.16,0.6977777777777777,0.5294117647058824,10,171.6981077194214,35
0.16,0.6977777777777777,0.5294117647058824,10,171.81414222717285,35
0.16,0.6977777777777777,0.5294117647058824,10,171.91252732276917,35
0.16,0.6977777777777777,0.5294117647058824,10,172.01612663269043,35
0.16,0.6977777777777777,0.5294117647058824,10,172.11583805084229,35
0.16,0.6977777777777777,0.5294117647058824,10,172.21896362304688,35
0.16,0.6977777777777777,0.5294117647058824,10,172.32489466667175,35
0.16,0.6977777777777777,0.5294117647058824,10,172.43144536018372,35
0.16,0.6977777777777777,0.5294117647058824,10,172.5473701953888,35
0.16,0.6977777777777777,0.5294117647058824,10,172.6505889892578,35
0.16,0.6977777777777777,0.5294117647058824,10,172.75954627990723,35
0.16,0.6977777777777777,0.5294117647058824,10,172.8793773651123,35
0.16,0.6977777777777777,0.5294117647058824,10,172.97774124145508,35
0.16,0.6977777777777777,0.5294117647058824,10,173.0792109966278,35
0.16,0.6977777777777777,0.5294117647058824,10,173.18145084381104,35
0.16,0.6977777777777777,0.5294117647058824,10,173.29241490364075,35
0.16,0.6977777777777777,0.5294117647058824,10,173.39665174484253,35
0.16,0.6977777777777777,0.5294117647058824,10,173.50043535232544,35
0.16,0.6977777777777777,0.5294117647058824,10,173.6042559146881,35
0.16,0.6977777777777777,0.5294117647058824,10,173.71438908576965,35
0.16,0.6977777777777777,0.5294117647058824,10,173.8252148628235,35
0.16,0.6977777777777777,0.5294117647058824,10,173.92941284179688,35
0.16,0.6977777777777777,0.5294117647058824,10,174.05687260627747,35
0.16,0.6977777777777777,0.5294117647058824,10,174.15838265419006,35
0.16,0.6977777777777777,0.5294117647058824,10,174.27924704551697,35
0.16,0.6977777777777777,0.5294117647058824,10,174.39122700691223,35
0.16,0.6977777777777777,0.5294117647058824,10,174.51764345169067,35
0.16,0.6977777777777777,0.5294117647058824,10,174.66495537757874,35
0.16,0.6977777777777777,0.5294117647058824,10,174.76596188545227,35
0.16,0.6977777777777777,0.5294117647058824,10,174.86474633216858,35
0.16,0.6977777777777777,0.5294117647058824,10,174.9678225517273,35
0.16,0.6977777777777777,0.5294117647058824,10,175.07443070411682,35
0.16,0.6977777777777777,0.5294117647058824,10,175.18972301483154,35
0.16,0.6977777777777777,0.5294117647058824,10,175.29252004623413,35
0.16,0.6977777777777777,0.5294117647058824,10,175.39250469207764,35
0.16,0.6977777777777777,0.5294117647058824,10,175.51473450660706,35
0.16,0.6977777777777777,0.5294117647058824,10,175.61946630477905,35
0.16,0.6977777777777777,0.5294117647058824,10,175.720440864563,35
0.16,0.6977777777777777,0.5294117647058824,10,175.83321475982666,35
0.16,0.6977777777777777,0.5294117647058824,10,175.94334483146667,35
0.16,0.6977777777777777,0.5294117647058824,10,176.0465497970581,35
0.16,0.6977777777777777,0.5294117647058824,10,176.14684343338013,35
0.16,0.6977777777777777,0.5294117647058824,10,176.24673771858215,35
0.16,0.6977777777777777,0.5294117647058824,10,176.346994638443,35
0.16,0.6977777777777777,0.5294117647058824,10,176.4670603275299,35
0.16,0.6977777777777777,0.5294117647058824,10,176.56992650032043,35
0.16,0.6977777777777777,0.5294117647058824,10,176.67134928703308,35
0.16,0.6977777777777777,0.5294117647058824,10,176.77088594436646,35
