Day,initial MSE,MSE,score,t-waypoints scheduled,total_time_sec,nodes_expanded
0,0.5116744496330887,0.5116744496330887,0.0,2,0.11382222175598145,2
0,0.5116744496330887,0.26259592926259595,48.67910065650178,3,0.23490285873413086,3
0,0.5116744496330887,0.16455273698264353,67.84034514511309,4,0.35838961601257324,4
0,0.5116744496330887,0.21803005008347245,57.388911984990195,5,0.4939098358154297,5
0,0.5116744496330887,0.22879091516366065,55.28584330764963,6,0.6406979560852051,6
0,0.5116744496330887,0.1396592048112262,72.70545658252568,7,0.798006534576416,7
0,0.5116744496330887,0.14371657754010694,71.91249677540806,8,0.9721879959106445,8
0,0.5116744496330887,0.14877967235038447,70.92298189658067,9,1.1919949054718018,9
0,0.5116744496330887,0.1411371237458194,72.41661688461755,10,1.4581794738769531,10
0,0.5116744496330887,0.13014386082301774,74.5651046448887,11,1.7954535484313965,11
0,0.5116744496330887,0.12449799196787148,75.66851499871717,12,2.2274911403656006,12
0,0.5116744496330887,0.12085704720455306,76.38008947071383,13,16.055384397506714,13
0,0.5116744496330887,0.11386470194239785,77.74665081986254,14,44.23305034637451,14
0,0.5116744496330887,0.11055276381909548,78.39392529793687,15,176.2466812133789,15
0,0.5116744496330887,0.10757372654155496,78.9761387111094,16,1018.4122285842896,18
1,0.5116744496330887,0.10727455581629232,79.03460767032306,2,0.12550783157348633,2
1,0.5116744496330887,0.10663983903420524,79.15865466593563,3,0.24651384353637695,3
1,0.5116744496330887,0.10667561221066756,79.151663271996,4,0.3748912811279297,4
1,0.5116744496330887,0.10604026845637583,79.27583280102903,5,0.5123019218444824,5
1,0.5116744496330887,0.038267875125881166,92.52105021985712,6,0.6532349586486816,6
1,0.5116744496330887,0.038616521155137674,92.4529119672032,7,0.8305284976959229,7
1,0.5116744496330887,0.017467248908296942,96.5862573515597,8,1.078101396560669,8
1,0.5116744496330887,0.018145161290322582,96.45376834756277,9,1.84733247756958,9
1,0.5116744496330887,0.017478991596638654,96.58396239851874,10,3.456897258758545,10
1,0.5116744496330887,0.01815736381977135,96.45138352466267,11,7.729808330535889,11
1,0.5116744496330887,0.01782711066263034,96.51592713386142,12,16.0332932472229,12
1,0.5116744496330887,0.017833109017496636,96.5147548347813,13,52.0339150428772,13
1,0.5116744496330887,0.027600134634803097,94.60591892860889,14,162.62826085090637,14
1,0.5116744496330887,0.006397306397306397,98.74973112261247,15,322.74924969673157,15
2,0.5116744496330887,0.006399461098012799,98.74931001487337,2,0.12798380851745605,2
2,0.5116744496330887,0.006738544474393531,98.68304065617787,3,0.24457597732543945,3
2,0.5116744496330887,0.00741489720256151,98.5508564658879,4,0.3694181442260742,4
2,0.5116744496330887,0.006068779501011463,98.81393735697311,5,0.5025568008422852,5
2,0.5116744496330887,0.005733558178752108,98.87945192829865,6,0.64444899559021,6
2,0.5116744496330887,0.0033738191632928477,99.34063169155463,7,0.7935013771057129,7
2,0.5116744496330887,0.004049949375632805,99.20849098903864,8,1.0272090435028076,8
2,0.5116744496330887,0.005064145847400405,99.0102797098757,9,1.4120666980743408,9
2,0.5116744496330887,0.004728132387706856,99.0759490939801,10,2.8694612979888916,10
2,0.5116744496330887,0.00472972972972973,99.07563691461996,11,7.418933391571045,11
2,0.5116744496330887,0.004393376140588037,99.14137277252394,12,17.83788824081421,12
2,0.5116744496330887,0.004056795131845842,99.20715307657927,13,27.64895987510681,13
2,0.5116744496330887,0.0047345282380791345,99.07469910966354,14,44.0102322101593,14
2,0.5116744496330887,0.0040595399188092015,99.20661664429008,15,137.16256713867188,15
2,0.5116744496330887,0.0040609137055837565,99.20634815584485,16,298.2846918106079,16
2,0.5116744496330887,0.004062288422477996,99.20607948562,17,482.6986770629883,17
