Day,initial MSE,MSE,score,t-waypoints scheduled,total_time_sec,nodes_expanded
0,0.5102040816326531,0.5102040816326531,0.0,2,50.647934675216675,2
0,0.5102040816326531,0.30736163353036,39.75711982804944,3,102.25588512420654,3
0,0.5102040816326531,0.18924731182795698,62.907526881720436,4,153.74056243896484,4
0,0.5102040816326531,0.17751479289940827,65.20710059171597,5,206.2184600830078,5
0,0.5102040816326531,0.17384284176533907,65.92680301399355,6,257.56762504577637,6
0,0.5102040816326531,0.17070543887991385,66.54173397953689,7,309.2466628551483,8
0,0.5102040816326531,0.1697198275862069,66.73491379310344,8,360.66028022766113,9
0,0.5102040816326531,0.15956873315363881,68.72452830188679,9,411.88352036476135,10
1,0.5102040816326531,0.1483279395900755,70.9277238403452,2,49.98137164115906,2
1,0.5102040816326531,0.14355099838100377,71.86400431732326,3,100.05876421928406,3
1,0.5102040816326531,0.13930885529157666,72.69546436285097,4,149.59829258918762,4
1,0.5102040816326531,0.13830361966504592,72.892490545651,5,199.4795892238617,5
1,0.5102040816326531,0.13405405405405404,73.72540540540541,6,249.5668170452118,6
1,0.5102040816326531,0.12493239588967009,75.51325040562467,7,299.83797335624695,7
1,0.5102040816326531,0.10768398268398269,78.89393939393939,7,357.2893853187561,10
1,0.5102040816326531,0.10768398268398269,78.89393939393939,7,412.79834365844727,13
2,0.5102040816326531,0.1292590589507842,74.6652244456463,2,52.46281981468201,2
2,0.5102040816326531,0.10768398268398269,78.89393939393939,3,104.62594962120056,3
2,0.5102040816326531,0.10503519220357337,79.41310232809961,3,157.6376917362213,6
2,0.5102040816326531,0.10503519220357337,79.41310232809961,4,209.74468874931335,8
2,0.5102040816326531,0.10509209100758396,79.40195016251354,5,262.1916265487671,9
2,0.5102040816326531,0.1040650406504065,79.60325203252033,6,313.34156918525696,10
2,0.5102040816326531,0.10412147505422993,79.59219088937094,7,364.5259165763855,11
2,0.5102040816326531,0.10472056429734129,79.4747693977211,7,419.84510493278503,14
