MSE,score,initial MSE,t-waypoints scheduled,total_time_sec,nodes_expanded
0.4959349593495935,0.0,0.4959349593495935,2,0.2593722343444824,2
0.4782608695652174,0.035637918745545186,0.4959349593495935,3,0.2885923385620117,3
0.43869209809264303,0.11542413007549024,0.4959349593495935,4,0.31828904151916504,4
0.4426229508196721,0.10749798441279224,0.4959349593495935,5,0.36684274673461914,6
0.39452054794520547,0.20449135414327418,0.4959349593495935,6,0.40790891647338867,7
0.3983516483516483,0.19676634840569268,0.4959349593495935,7,0.4572608470916748,8
0.38016528925619836,0.23343720363094425,0.4959349593495935,8,2.272819757461548,10
0.39502762430939226,0.20346888868761887,0.4959349593495935,9,2.3464865684509277,11
0.40443213296398894,0.1845056991053993,0.4959349593495935,10,8.801628351211548,13
0.3888888888888889,0.2158469945355191,0.4959349593495935,11,8.921433925628662,14
0.3871866295264624,0.21927941915155943,0.4959349593495935,11,357.53094816207886,17
