Day,initial MSE,MSE,score,t-waypoints scheduled,total_time_sec,nodes_expanded
0,0.5410628019323671,0.5410628019323671,0.0,2,104.11076474189758,2
0,0.5410628019323671,0.20187919463087248,62.68839884947268,3,207.63090014457703,3
0,0.5410628019323671,0.08592910848549946,84.11845941384072,4,311.36650490760803,4
0,0.5410628019323671,0.067150147730325,87.58921376769885,5,418.17211985588074,5
1,0.5410628019323671,0.051047823750671684,90.56526828893836,2,107.16477370262146,2
1,0.5410628019323671,0.04944907282988444,90.86075171804815,3,209.66375708580017,3
1,0.5410628019323671,0.02795698924731183,94.83294930875576,4,312.485054731369,4
1,0.5410628019323671,0.02635116966926593,95.12973917719816,5,415.62206745147705,5
2,0.5410628019323671,0.025820333512641205,95.2278490740029,2,103.66794228553772,4
2,0.5410628019323671,0.024751143395211193,95.42545831892078,3,206.68169450759888,5
2,0.5410628019323671,0.022604951560818085,95.82212055974166,4,311.6989052295685,6
2,0.5410628019323671,0.022072678331090174,95.9204960584503,5,422.21482276916504,7
