Day,initial MSE,MSE,score,t-waypoints scheduled,total_time_sec,nodes_expanded
0,0.4506337558372248,0.4506337558372248,0.0,2,74.68068623542786,2
0,0.4506337558372248,0.41174507841174507,8.629774605594987,3,150.05245542526245,3
0,0.4506337558372248,0.3771695594125501,16.302417533765716,4,225.16812086105347,4
0,0.4506337558372248,0.37061769616026713,17.756339519727547,5,297.91531133651733,5
0,0.4506337558372248,0.36472945891783565,19.062996459239727,6,370.2116985321045,6
0,0.4506337558372248,0.34413631807550954,23.632814093976492,7,442.5713105201721,7
1,0.4506337558372248,0.33856951871657753,24.868140850310922,2,71.90092921257019,2
1,0.4506337558372248,0.3370110330992979,25.213983920673932,3,145.5161862373352,3
1,0.4506337558372248,0.3351170568561873,25.63427561400077,4,218.70609617233276,4
1,0.4506337558372248,0.3332218133154901,26.054848532950455,5,291.23372888565063,5
1,0.4506337558372248,0.3319946452476573,26.32716902646361,6,365.20800590515137,6
1,0.4506337558372248,0.3311014395714764,26.52538002699583,7,439.8761246204376,7
2,0.4506337558372248,0.3315472203616879,26.426456947125075,2,76.44548439979553,2
2,0.4506337558372248,0.32964824120603015,26.847858835256968,3,152.80895709991455,3
2,0.4506337558372248,0.32808310991957107,27.195176644050775,4,228.76204204559326,4
2,0.4506337558372248,0.32886356017432117,27.02198716486937,5,304.3420321941376,5
2,0.4506337558372248,0.32930918846411805,26.923097926319326,6,379.7236065864563,6
2,0.4506337558372248,0.32874874203287485,27.047466423792834,7,457.3899550437927,7
