Day,initial MSE,MSE,score,t-waypoints scheduled,total_time_sec,nodes_expanded
0,0.5110073382254836,0.5110073382254836,0.0,2,72.16918277740479,2
0,0.5110073382254836,0.5075075075075075,0.6848885438963683,3,144.4319360256195,3
0,0.5110073382254836,0.5086782376502003,0.4557861308550576,4,216.86922597885132,4
0,0.5110073382254836,0.5098497495826377,0.22653072788850737,5,289.2489683628082,5
0,0.5110073382254836,0.5073480293921175,0.7160971202631515,6,361.65238094329834,6
0,0.5110073382254836,0.5071834279986636,0.7483082806792759,7,434.41909623146057,7
1,0.5110073382254836,0.5060160427807486,0.9767561190153697,2,71.98746061325073,2
1,0.5110073382254836,0.5051822133065864,1.139929798097506,3,144.79957795143127,3
1,0.5110073382254836,0.5036789297658862,1.4341102194434017,4,218.08477926254272,4
1,0.5110073382254836,0.5018400802944128,1.7939581773727247,5,291.15742230415344,5
1,0.5110073382254836,0.500669344042838,2.0230617858728106,6,364.52341747283936,6
1,0.5110073382254836,0.40843655841981924,20.07227140061239,7,438.6890001296997,7
2,0.5110073382254836,0.40622906898861355,20.504259214891416,2,74.06337380409241,2
2,0.5110073382254836,0.40971524288107203,19.82204320121057,3,147.92285799980164,3
2,0.5110073382254836,0.40449061662198393,20.844460272016452,4,222.34691405296326,4
2,0.5110073382254836,0.4388199798860208,14.126481742931434,5,296.7143907546997,5
2,0.5110073382254836,0.4584171696847753,10.29147031886707,6,371.4254026412964,6
2,0.5110073382254836,0.44448171754444815,13.018525509252239,7,446.4670641422272,7
