Day,initial MSE,MSE,score,t-waypoints scheduled,total_time_sec,nodes_expanded
0,0.5076717811874583,0.5076717811874583,0.0,2,79.60635709762573,2
0,0.5076717811874583,0.5088421755088421,-0.23054153584158224,3,159.71254658699036,3
0,0.5076717811874583,0.5023364485981309,1.0509413339555531,4,241.63202834129333,4
0,0.5076717811874583,0.4974958263772955,2.004435776666751,5,321.95724534988403,5
0,0.5076717811874583,0.5023380093520374,1.0506339003016854,6,403.02970361709595,6
1,0.5076717811874583,0.5058469762779819,0.3594458027996104,2,80.56997156143188,2
1,0.5076717811874583,0.5093582887700535,-0.33220431883183776,3,161.3345446586609,3
1,0.5076717811874583,0.5071882313607489,0.0952485138288283,4,242.5294280052185,4
1,0.5076717811874583,0.5070234113712374,0.1277143698442911,5,323.59032940864563,5
1,0.5076717811874583,0.5028437604550017,0.9510122310055742,6,405.2601101398468,6
2,0.5076717811874583,0.5066934404283802,0.19271127435717111,2,82.45319032669067,2
2,0.5076717811874583,0.4840977569467693,4.643556154637678,3,165.12798762321472,3
2,0.5076717811874583,0.4722036168787676,6.986436044510814,4,247.46516370773315,4
2,0.5076717811874583,0.4901172529313233,3.4578499153674516,5,331.6677598953247,5
2,0.5076717811874583,0.4896112600536193,3.557519208886277,6,414.6669411659241,6
