MSE,score,initial MSE,t-waypoints scheduled,total_time_sec
0.28,0.0,0.28,2,0.06112360954284668
0.2828282828282828,-0.010101010101009967,0.28,3,0.09850382804870605
0.2857142857142857,-0.020408163265305968,0.28,4,0.13840460777282715
0.28865979381443296,-0.0309278350515462,0.28,5,0.18731236457824707
0.3020833333333333,-0.07886904761904745,0.28,6,0.24616575241088867
0.30526315789473685,-0.09022556390977435,0.28,7,0.35992932319641113
0.3191489361702128,-0.13981762917933127,0.28,8,0.5787687301635742
0.3010752688172043,-0.07526881720430101,0.28,9,1.027466058731079
0.30434782608695654,-0.0869565217391304,0.28,10,1.8054254055023193
0.2967032967032967,-0.05965463108320241,0.28,11,2.9170491695404053
0.3,-0.07142857142857129,0.28,12,17.11710238456726
0.30337078651685395,-0.08346709470304972,0.28,13,98.08226418495178
0.3068181818181818,-0.09577922077922069,0.28,13,184.34640192985535
0.3068181818181818,-0.09577922077922069,0.28,14,977.3163387775421
0.3103448275862069,-0.10837438423645313,0.28,14,1296.7891416549683
0.313953488372093,-0.1212624584717607,0.28,15,1340.3191964626312
0.3176470588235294,-0.13445378151260487,0.28,16,1500.1849575042725
0.3333333333333333,-0.1904761904761903,0.28,17,2095.557474374771
