MSE,score,initial MSE,t-waypoints scheduled,total_time_sec
0.34,0.0,0.34,2,0.06111931800842285
0.3333333333333333,0.019607843137255027,0.34,3,0.10180974006652832
0.3163265306122449,0.06962785114045619,0.34,4,0.1447281837463379
0.31958762886597936,0.06003638568829608,0.34,5,0.19618678092956543
0.3229166666666667,0.0502450980392157,0.34,6,0.2566864490509033
0.3263157894736842,0.04024767801857588,0.34,7,0.3415498733520508
0.3191489361702128,0.06132665832290365,0.34,8,0.4513089656829834
0.34408602150537637,-0.012017710309930431,0.34,9,0.6066172122955322
0.32608695652173914,0.04092071611253202,0.34,10,0.8348348140716553
0.32967032967032966,0.03038138332255988,0.34,11,1.1575708389282227
0.3333333333333333,0.019607843137255027,0.34,12,1.6675593852996826
0.33707865168539325,0.008592200925314045,0.34,13,8.216407060623169
0.3068181818181818,0.09759358288770058,0.34,14,21.0692241191864
0.3103448275862069,0.08722109533468564,0.34,15,45.60627007484436
0.313953488372093,0.07660738714090293,0.34,16,226.22011303901672
0.29411764705882354,0.1349480968858132,0.34,17,1681.2198975086212
