MSE,score,initial MSE,t-waypoints scheduled,total_time_sec
0.29,0.0,0.29,2,0.07319116592407227
0.2828282828282828,0.024730059212817804,0.29,3,0.11110901832580566
0.2857142857142857,0.014778325123152697,0.29,4,0.15567708015441895
0.27835051546391754,0.040170636331318774,0.29,5,0.20670104026794434
0.25,0.13793103448275856,0.29,6,0.26412534713745117
0.24210526315789474,0.1651542649727767,0.29,6,0.32512784004211426
0.24210526315789474,0.1651542649727767,0.29,7,0.40058469772338867
0.22340425531914893,0.2296404988994864,0.29,8,0.5224094390869141
0.22580645161290322,0.22135706340378195,0.29,9,0.789172887802124
0.22826086956521738,0.2128935532233883,0.29,10,1.2967193126678467
0.21978021978021978,0.2421371731716559,0.29,10,1.803063154220581
0.21978021978021978,0.2421371731716559,0.29,11,2.992867946624756
0.2111111111111111,0.27203065134099613,0.29,12,5.6842920780181885
0.21348314606741572,0.2638512204571871,0.29,13,9.543234825134277
0.20454545454545456,0.29467084639498425,0.29,14,18.122990131378174
0.1839080459770115,0.3658343242172017,0.29,15,106.79359269142151
0.1744186046511628,0.3985565356856455,0.29,16,256.223224401474
0.17647058823529413,0.39148073022312363,0.29,17,539.5694777965546
0.16666666666666666,0.42528735632183906,0.29,17,1124.2033298015594
0.16666666666666666,0.42528735632183906,0.29,17,1808.6740794181824
