MSE,score,initial MSE,t-waypoints scheduled,total_time_sec,nodes_expanded
0.43902439024390244,0.0,0.43902439024390244,2,0.3100926876068115,2
0.4592391304347826,-0.046044685990338126,0.43902439024390244,3,0.3432471752166748,3
0.39509536784741145,0.10006055101422948,0.43902439024390244,4,0.3799269199371338,4
0.4890710382513661,-0.11399514268366724,0.43902439024390244,5,0.42047667503356934,5
0.5013698630136987,-0.14200913242009144,0.43902439024390244,6,0.4680755138397217,6
0.5027472527472527,-0.14514652014652013,0.43902439024390244,7,0.5230896472930908,7
0.4132231404958678,0.05876951331496784,0.43902439024390244,8,0.5826833248138428,8
0.3812154696132597,0.13167587476979736,0.43902439024390244,9,0.6756176948547363,10
0.39335180055401664,0.10403200984918433,0.43902439024390244,10,0.8078570365905762,13
0.36944444444444446,0.1584876543209876,0.43902439024390244,11,0.9296116828918457,14
0.37047353760445684,0.15614360878984831,0.43902439024390244,11,164.73622584342957,17
0.37047353760445684,0.15614360878984831,0.43902439024390244,11,305.03178453445435,20
