MSE,score,initial MSE,t-waypoints scheduled,total_time_sec,nodes_expanded
0.45799457994579945,0.0,0.45799457994579945,2,0.2603123188018799,2
0.4592391304347826,-0.0027173913043478087,0.45799457994579945,3,0.28756213188171387,3
0.44141689373297005,0.03619624977830798,0.45799457994579945,4,0.32602596282958984,5
0.49453551912568305,-0.07978465418566301,0.45799457994579945,5,0.3578968048095703,6
0.40821917808219177,0.1086812028856286,0.45799457994579945,6,0.39948177337646484,7
0.4175824175824176,0.0882372065804018,0.45799457994579945,7,0.45037245750427246,8
0.39944903581267216,0.1278302117462957,0.45799457994579945,8,0.5190017223358154,10
0.40331491712707185,0.11938932295923364,0.45799457994579945,9,0.758237361907959,12
0.3490304709141274,0.2379157173531774,0.45799457994579945,10,1.0600156784057617,13
0.33055555555555555,0.2782544378698225,0.45799457994579945,11,5.4704272747039795,14
0.3064066852367688,0.33098185294456994,0.45799457994579945,11,111.18449926376343,16
0.30362116991643456,0.3370638360996192,0.45799457994579945,11,219.06010127067566,19
0.30362116991643456,0.3370638360996192,0.45799457994579945,11,365.3039827346802,22
