MSE,score,initial MSE,t-waypoints scheduled,total_time_sec,nodes_expanded
0.36157894736842106,0.0,0.36157894736842106,2,7.00208592414856,2
0.3596629805160611,0.005298889402451103,0.36157894736842106,3,7.245424270629883,3
0.3587987355110643,0.007689086650622809,0.36157894736842106,4,7.445550441741943,4
0.3574064312071692,0.011539709907392335,0.36157894736842106,5,7.651839971542358,5
0.35548523206751054,0.01685306997340609,0.36157894736842106,6,7.8695104122161865,6
0.35356200527704484,0.022172037807299566,0.36157894736842106,7,8.10534405708313,7
0.3489968321013728,0.03479769870071576,0.36157894736842106,8,8.377722024917603,8
0.3481246698362388,0.03720979230152298,0.36157894736842106,9,8.694163799285889,9
0.3430232558139535,0.05131850648251583,0.36157894736842106,10,9.232112646102905,10
0.3421470121628768,0.05374188775914715,0.36157894736842106,11,9.902852535247803,11
0.3417989417989418,0.05470452777585231,0.36157894736842106,12,10.730613946914673,12
0.34303864478560087,0.05127594600779965,0.36157894736842106,13,11.792812585830688,13
0.3411016949152542,0.056632867046604064,0.36157894736842106,14,14.669899940490723,14
0.34128245892951775,0.056132937458393414,0.36157894736842106,15,20.366077661514282,15
0.3425238600212089,0.05269965932999,0.36157894736842106,16,50.26341533660889,16
0.3405835543766578,0.05806586125815158,0.36157894736842106,17,335.37998151779175,17
0.3359872611464968,0.07077758926005254,0.36157894736842106,18,1224.8829185962677,18
0.33935209771641,0.061471636592170295,0.36157894736842106,19,11405.28938627243,24
