MSE,score,initial MSE,t-waypoints scheduled,total_time_sec,nodes_expanded
0.36,0.0,0.36,2,0.0538480281829834,2
0.36363636363636365,-0.010101010101010166,0.36,3,0.0924522876739502,3
0.35714285714285715,0.007936507936507877,0.36,4,0.13225436210632324,4
0.35051546391752575,0.02634593356242844,0.36,5,0.17836284637451172,5
0.3541666666666667,0.016203703703703616,0.36,6,0.24314451217651367,6
0.3473684210526316,0.03508771929824551,0.36,7,0.3724215030670166,7
0.35106382978723405,0.02482269503546094,0.36,8,0.6839323043823242,8
0.34408602150537637,0.04420549581839893,0.36,9,1.365187406539917,9
0.32608695652173914,0.09420289855072458,0.36,10,2.878450870513916,10
0.32967032967032966,0.08424908424908423,0.36,11,5.647482872009277,11
0.32222222222222224,0.10493827160493818,0.36,12,11.63809871673584,12
0.29213483146067415,0.18851435705368288,0.36,13,25.038111686706543,13
0.29545454545454547,0.17929292929292923,0.36,14,55.87637996673584,14
0.2988505747126437,0.1698595146871008,0.36,15,340.02153182029724,15
0.3023255813953488,0.16020671834625325,0.36,16,2910.846359014511,17
