MSE,score,initial MSE,t-waypoints scheduled,total_time_sec,nodes_expanded
0.34,0.0,0.34,2,0.05370831489562988,2
0.3434343434343434,-0.010101010101010001,0.34,3,0.09214925765991211,3
0.35714285714285715,-0.050420168067226837,0.34,4,0.12944507598876953,4
0.36082474226804123,-0.061249241964827075,0.34,5,0.1777193546295166,5
0.3125,0.08088235294117653,0.34,6,0.24008488655090332,6
0.30526315789473685,0.10216718266253876,0.34,7,0.316558837890625,7
0.2978723404255319,0.12390488110137683,0.34,8,0.42192935943603516,8
0.3118279569892473,0.08285895003162562,0.34,9,0.5705158710479736,9
0.30434782608695654,0.10485933503836319,0.34,10,0.7901980876922607,10
0.3076923076923077,0.09502262443438915,0.34,11,1.0660994052886963,11
0.3111111111111111,0.08496732026143795,0.34,12,1.448268175125122,12
0.34831460674157305,-0.024454725710508902,0.34,13,2.329202651977539,13
0.3181818181818182,0.06417112299465248,0.34,14,10.644839763641357,14
0.3218390804597701,0.05341446923597033,0.34,15,35.15067434310913,15
0.32558139534883723,0.04240766073871409,0.34,15,60.30329179763794,15
0.32558139534883723,0.04240766073871409,0.34,16,368.82991218566895,16
0.32941176470588235,0.031141868512110808,0.34,16,2395.054990053177,17
