Day,initial MSE,MSE,score,t-waypoints scheduled,total_time_sec,nodes_expanded
0,0.5217391304347826,0.5217391304347826,0.0,2,96.6085045337677,2
0,0.5217391304347826,0.47140939597315434,9.646532438478749,3,192.5474829673767,3
0,0.5217391304347826,0.4602577873254565,11.783924095954163,4,286.05223059654236,4
0,0.5217391304347826,0.45554660220252485,12.686901244516067,5,379.17225313186646,5
0,0.5217391304347826,0.445996775926921,14.517284614006808,6,473.6657450199127,6
1,0.5217391304347826,0.4375167965600645,16.142613992654304,2,94.19750165939331,2
1,0.5217391304347826,0.4467741935483871,14.36827956989247,3,189.0574073791504,3
1,0.5217391304347826,0.43667652594783546,16.303665859998205,4,283.88025641441345,4
1,0.5217391304347826,0.43356643356643354,16.899766899766902,5,379.18745613098145,5
1,0.5217391304347826,0.43153080441216035,17.28992915433593,5,474.85969495773315,8
2,0.5217391304347826,0.43153080441216035,17.28992915433593,2,95.50590634346008,2
2,0.5217391304347826,0.42895586652314316,17.78345891639756,3,191.3183240890503,3
2,0.5217391304347826,0.4215343203230148,19.205921938088828,4,286.8716175556183,4
2,0.5217391304347826,0.38449111470113084,26.30586968228325,5,383.3450515270233,5
2,0.5217391304347826,0.35712361971451656,31.55130622138432,6,480.8735749721527,8
