Day,initial MSE,MSE,score,t-waypoints scheduled,total_time_sec,nodes_expanded
0,0.49371633752244165,0.49371633752244165,0.0,2,14.758057117462158,2
0,0.49371633752244165,0.43884892086330934,11.113145846958798,3,29.53183603286743,3
0,0.49371633752244165,0.4144144144144144,16.062244062244066,4,44.33646273612976,5
0,0.49371633752244165,0.38267148014440433,22.49163111256974,5,59.05690884590149,6
0,0.49371633752244165,0.20795660036166366,57.879335854019395,6,73.86868596076965,7
0,0.49371633752244165,0.21195652173913043,57.06916996047431,7,88.65167260169983,8
0,0.49371633752244165,0.32123411978221417,34.93548919320244,8,103.30570459365845,10
0,0.49371633752244165,0.2727272727272727,44.7603305785124,9,117.5118236541748,11
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,174.3944797515869,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,189.11079168319702,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,203.80052018165588,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,218.13357949256897,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,232.38768029212952,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,246.68079471588135,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,260.9879515171051,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,275.3966267108917,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,289.6490364074707,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,303.7520680427551,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,317.53522539138794,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,331.4555151462555,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,345.54295015335083,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,359.6278495788574,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,373.710622549057,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,387.9003322124481,14
0,0.49371633752244165,0.28233151183970856,42.815035601920854,9,402.0802159309387,14
1,0.49371633752244165,0.49371633752244165,0.0,2,14.202044010162354,2
1,0.49371633752244165,0.43884892086330934,11.113145846958798,3,28.331444025039673,3
1,0.49371633752244165,0.4144144144144144,16.062244062244066,4,42.47314524650574,5
1,0.49371633752244165,0.38267148014440433,22.49163111256974,5,56.73814940452576,6
1,0.49371633752244165,0.20795660036166366,57.879335854019395,6,70.95595288276672,7
1,0.49371633752244165,0.21195652173913043,57.06916996047431,7,85.16983461380005,8
1,0.49371633752244165,0.32123411978221417,34.93548919320244,8,99.3795382976532,10
1,0.49371633752244165,0.2727272727272727,44.7603305785124,9,113.20796179771423,11
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,168.9289846420288,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,183.39997267723083,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,197.7960865497589,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,211.9926679134369,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,226.10690641403198,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,240.09100556373596,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,254.2300627231598,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,268.5994002819061,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,283.0009093284607,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,297.44347286224365,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,311.9282760620117,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,326.2423622608185,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,340.60011315345764,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,354.8758862018585,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,368.90262603759766,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,382.9475607872009,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,396.99071860313416,14
1,0.49371633752244165,0.28233151183970856,42.815035601920854,9,411.0385391712189,14
2,0.49371633752244165,0.49371633752244165,0.0,2,14.30890965461731,2
2,0.49371633752244165,0.43884892086330934,11.113145846958798,3,28.438245058059692,3
2,0.49371633752244165,0.4144144144144144,16.062244062244066,4,42.63611197471619,5
2,0.49371633752244165,0.38267148014440433,22.49163111256974,5,57.004677295684814,6
2,0.49371633752244165,0.20795660036166366,57.879335854019395,6,71.15207719802856,7
2,0.49371633752244165,0.21195652173913043,57.06916996047431,7,85.48642611503601,8
2,0.49371633752244165,0.32123411978221417,34.93548919320244,8,100.12754082679749,10
2,0.49371633752244165,0.2727272727272727,44.7603305785124,9,114.29283118247986,11
2,0.49371633752244165,0.28233151183970856,42.815035601920854,9,169.2436225414276,14
2,0.49371633752244165,0.28233151183970856,42.815035601920854,9,183.927747964859,14
2,0.49371633752244165,0.28233151183970856,42.815035601920854,9,198.41231966018677,14
2,0.49371633752244165,0.28233151183970856,42.815035601920854,9,213.19791221618652,14
2,0.49371633752244165,0.28233151183970856,42.815035601920854,9,227.88223791122437,14
2,0.49371633752244165,0.28233151183970856,42.815035601920854,9,242.52291536331177,14
2,0.49371633752244165,0.28233151183970856,42.815035601920854,9,257.3057949542999,14
2,0.49371633752244165,0.28233151183970856,42.815035601920854,9,272.0823132991791,14
