Day,initial MSE,MSE,score,t-waypoints scheduled,total_time_sec,nodes_expanded
0,0.5435435435435435,0.5435435435435435,0.0,2,51.05587601661682,2
0,0.5435435435435435,0.5553329994992489,-2.1689993553866755,3,101.34314680099487,3
0,0.5435435435435435,0.5601202404809619,-3.0497459006410588,4,152.49493503570557,4
0,0.5435435435435435,0.562406015037594,-3.4702779047065313,5,202.82447981834412,5
0,0.5435435435435435,0.5581745235707122,-2.69177698842385,6,252.55602717399597,6
0,0.5435435435435435,0.5484194681384847,-0.8970623702295208,7,302.81533098220825,7
0,0.5435435435435435,0.552710843373494,-1.6865805764494493,8,353.0345959663391,8
0,0.5435435435435435,0.5509794073329984,-1.3680346087781727,9,403.33282995224,9
1,0.5435435435435435,0.549748743718593,-1.141619700713516,2,49.959006786346436,2
1,0.5435435435435435,0.5409753645047762,0.47248818779530455,3,99.08844137191772,3
1,0.5435435435435435,0.5241448692152918,3.5689273764131597,4,148.5769419670105,4
1,0.5435435435435435,0.4856567689984902,10.649887250554007,5,197.86847400665283,5
1,0.5435435435435435,0.4904330312185297,9.77116055482298,6,247.26448607444763,6
1,0.5435435435435435,0.490176322418136,9.818389300972758,7,296.47268295288086,7
1,0.5435435435435435,0.4894153225806452,9.958396453395107,8,345.6076247692108,8
1,0.5435435435435435,0.4831064044377206,11.119097968087857,9,394.7603507041931,9
1,0.5435435435435435,0.479313824419778,11.816848877466253,10,444.93732953071594,10
2,0.5435435435435435,0.47046945986875316,13.444016499284633,2,50.495821952819824,2
2,0.5435435435435435,0.47878787878787876,11.913611250627824,3,102.49851155281067,3
2,0.5435435435435435,0.47549267306720566,12.519856281005803,4,153.43487668037415,4
2,0.5435435435435435,0.4838220424671385,10.987436385880036,5,204.54380798339844,5
2,0.5435435435435435,0.48356095093576124,11.03547145767486,6,255.82868146896362,6
2,0.5435435435435435,0.4893724696356275,9.966280448251945,7,307.40363669395447,7
2,0.5435435435435435,0.4962025316455696,8.70969997901951,8,358.0624735355377,8
2,0.5435435435435435,0.48936170212765956,9.968261431762075,9,408.7747678756714,9
