MSE,score,initial MSE,t-waypoints scheduled,total_time_sec
0.41,0.0,0.41,2,0.06749749183654785
0.40404040404040403,0.01453559990145352,0.41,3,0.10892105102539062
0.3979591836734694,0.0293678446988551,0.41,4,0.15289831161499023
0.3917525773195876,0.044505908976615494,0.41,5,0.20717692375183105
0.3854166666666667,0.05995934959349583,0.41,6,0.26434993743896484
0.3684210526315789,0.10141206675224647,0.41,7,0.34451866149902344
0.3723404255319149,0.0918526206538661,0.41,8,0.45016980171203613
0.3763440860215054,0.08208759506949903,0.41,9,0.631206750869751
0.3695652173913043,0.09862142099681867,0.41,10,0.9473590850830078
0.37362637362637363,0.08871616188689353,0.41,11,1.5402390956878662
0.36666666666666664,0.10569105691056911,0.41,12,2.664508581161499
0.3595505617977528,0.12304741024938337,0.41,13,4.147875547409058
0.3409090909090909,0.16851441241685144,0.41,14,91.01870393753052
0.3448275862068966,0.15895710681244732,0.41,15,315.88788390159607
0.3372093023255814,0.17753828701077706,0.41,16,347.2979862689972
0.3411764705882353,0.16786226685796263,0.41,17,349.22355580329895
0.3333333333333333,0.18699186991869918,0.41,18,351.72489976882935
0.3373493975903614,0.17719659124302087,0.41,19,354.9534125328064
0.34146341463414637,0.16716240333135027,0.41,20,559.2579753398895
0.32098765432098764,0.21710328214393254,0.41,21,564.5502667427063
0.325,0.20731707317073164,0.41,22,616.0660438537598
0.3291139240506329,0.19728311207162705,0.41,23,814.1543154716492
0.2948717948717949,0.2808005003126954,0.41,24,1464.9298219680786
0.2987012987012987,0.27146024707000316,0.41,25,2121.6203949451447
