MSE,score,initial MSE,t-waypoints scheduled,total_time_sec
0.38,0.0,0.38,2,0.05167698860168457
0.3838383838383838,-0.01010101010101002,0.38,3,0.09387946128845215
0.3979591836734694,-0.047261009667024685,0.38,4,0.13514089584350586
0.4020618556701031,-0.05805751492132395,0.38,5,0.1769580841064453
0.3958333333333333,-0.04166666666666661,0.38,6,0.23528313636779785
0.3894736842105263,-0.024930747922437633,0.38,7,0.34890007972717285
0.40425531914893614,-0.06382978723404246,0.38,8,0.4734194278717041
0.40860215053763443,-0.07526881720430113,0.38,9,0.9409089088439941
0.40217391304347827,-0.05835240274599544,0.38,10,2.6645565032958984
0.3956043956043956,-0.04106419895893574,0.38,11,6.560407876968384
0.4111111111111111,-0.0818713450292397,0.38,12,16.22720456123352
0.4157303370786517,-0.0940272028385571,0.38,13,38.58711624145508
0.4090909090909091,-0.07655502392344503,0.38,14,92.90332293510437
0.41379310344827586,-0.08892921960072593,0.38,15,496.35120034217834
0.4186046511627907,-0.10159118727050188,0.38,16,1275.2058663368225
0.4235294117647059,-0.11455108359133125,0.38,16,2407.574296236038
