MSE,score,initial MSE,t-waypoints scheduled,total_time_sec
0.33,0.0,0.33,2,0.061795949935913086
0.3434343434343434,-0.040710131619222455,0.33,3,0.10193204879760742
0.3469387755102041,-0.051329622758194124,0.33,4,0.145247220993042
0.35051546391752575,-0.062168072477350705,0.33,5,0.19641947746276855
0.3333333333333333,-0.010101010101009998,0.33,6,0.2623114585876465
0.30526315789473685,0.07496012759170656,0.33,7,0.35501670837402344
0.30851063829787234,0.06511927788523537,0.33,8,0.5509490966796875
0.3118279569892473,0.05506679700228092,0.33,9,0.9010214805603027
0.30434782608695654,0.07773386034255599,0.33,10,2.852238178253174
0.2967032967032967,0.10089910089910094,0.33,11,7.562085390090942
0.3,0.09090909090909098,0.33,12,19.923293590545654
0.3258426966292135,0.012597889002383374,0.33,13,48.216997146606445
0.32954545454545453,0.001377410468319652,0.33,14,131.41942262649536
0.3103448275862069,0.05956112852664578,0.33,15,530.1167376041412
0.313953488372093,0.04862579281183936,0.33,15,1721.7946889400482
0.313953488372093,0.04862579281183936,0.33,15,2014.0721096992493
