MSE,score,initial MSE,t-waypoints scheduled,total_time_sec
0.36,0.0,0.36,2,0.05423593521118164
0.3434343434343434,0.04601571268237934,0.36,3,0.0897970199584961
0.32653061224489793,0.09297052154195015,0.36,4,0.12576842308044434
0.32989690721649484,0.08361970217640319,0.36,5,0.16598939895629883
0.3229166666666667,0.10300925925925918,0.36,6,0.2212679386138916
0.3157894736842105,0.12280701754385967,0.36,7,0.33596301078796387
0.30851063829787234,0.14302600472813234,0.36,8,0.5467734336853027
0.3010752688172043,0.16367980884109912,0.36,9,1.228241205215454
0.29347826086956524,0.18478260869565208,0.36,10,1.4267632961273193
0.27472527472527475,0.23687423687423678,0.36,11,8.912279844284058
0.26666666666666666,0.25925925925925924,0.36,12,28.28948712348938
0.2696629213483146,0.250936329588015,0.36,13,76.51030540466309
0.2727272727272727,0.24242424242424246,0.36,14,107.19419360160828
0.27586206896551724,0.23371647509578541,0.36,15,196.55871677398682
0.27906976744186046,0.22480620155038758,0.36,16,387.3082101345062
0.27058823529411763,0.24836601307189546,0.36,17,5885.953015089035
