problem_number,Day,mode,initial MSE,MSE,added_train_set_labels,train_point_df_initial
71,2,GP,0.40540540540540543,0.05830903790087463,[1661 1878 1993 2831  214 1850 2499  309 2510 2579 2485],"[1661 1878 3467 1237  590  205 3651 3487  629 2656  108  486  969 2236
 2159   71 1946 3597 3271 3720]"
72,0,GP,0.3891891891891892,0.225,[ 208 3650 2036 1941  930 2636  243 3702 2401 1233 2554  499],[ 208 3650]
72,1,GP,0.3891891891891892,0.08857142857142856,[ 208 3650 2876 1455 3161  185  626  205 2510 2100  955 2499],[ 208 3650 2036 1941  930 2636  243 3702 2401 1233 2554  499]
72,2,GP,0.3891891891891892,0.09090909090909091,[ 208 3650 1986 2084 2054  486 1845 1850  422 2106 2670 3720],"[ 208 3650 2036 1941  930 2636  243 3702 2401 1233 2554  499 2876 1455
 3161  185  626  205 2510 2100  955 2499]"
73,0,GP,0.5513513513513514,0.1527777777777778,[3328   77 1720 2670 1237 1026 3271  526  761 2030 1934 2842],[3328   77]
73,1,GP,0.5513513513513514,0.12857142857142856,[3328   77   66 2157 2100 1436 1346 2879 2499 2036 2513 3720],[3328   77 1720 2670 1237 1026 3271  526  761 2030 1934 2842]
73,2,GP,0.5513513513513514,0.061764705882352944,[3328   77  271 1857 2163  348  486  422  243 1858  449  343],"[3328   77 1720 2670 1237 1026 3271  526  761 2030 1934 2842   66 2157
 2100 1436 1346 2879 2499 2036 2513 3720]"
74,0,GP,0.5837837837837838,0.16620498614958448,[1694  205 1481 2606 1114 3544 3026  185  387 1237 1459],[1694  205]
74,1,GP,0.5837837837837838,0.11363636363636363,[1694  205  243 3702   23  338 1989 2838 2510 2499 2031],[1694  205 1481 2606 1114 3544 3026  185  387 1237 1459]
74,2,GP,0.5837837837837838,0.07309941520467836,[1694  205  626 3720 1898  309 2304 2201  761  422 1878  955],"[1694  205 1481 2606 1114 3544 3026  185  387 1237 1459  243 3702   23
  338 1989 2838 2510 2499 2031]"
75,0,GP,0.7513513513513513,0.2111111111111111,[ 141 2725 1481 2421 1057    3  930 2670 3533 2159   71 1946],[ 141 2725]
75,1,GP,0.7513513513513513,0.07977207977207977,[ 141 2725  948 1722 1346 2499  343 1850 1857  208 2034],[ 141 2725 1481 2421 1057    3  930 2670 3533 2159   71 1946]
