Day,initial MSE,MSE,score,t-waypoints scheduled,total_time_sec,nodes_expanded
0,0.34290843806104127,0.34290843806104127,0.0,2,12.81970500946045,3
0,0.34290843806104127,0.5377697841726619,-56.826057478624435,3,25.576199769973755,5
0,0.34290843806104127,0.5855855855855856,-70.77024668647708,4,38.30325984954834,6
0,0.34290843806104127,0.5397111913357401,-57.39221653089385,5,51.09445548057556,7
0,0.34290843806104127,0.5280289330922242,-53.98540090699943,6,63.932268381118774,8
0,0.34290843806104127,0.49818840579710144,-45.28321572198195,7,76.77532196044922,9
0,0.34290843806104127,0.4591651542649728,-33.903136610256475,8,89.58235669136047,10
0,0.34290843806104127,0.4309090909090909,-25.663017610661598,9,109.02922749519348,13
0,0.34290843806104127,0.4225865209471767,-23.235964485642636,10,121.7864716053009,15
0,0.34290843806104127,0.39963503649635035,-16.542782894485427,10,303.23106384277344,18
0,0.34290843806104127,0.39963503649635035,-16.542782894485427,11,337.6735408306122,21
0,0.34290843806104127,0.36380255941499084,-6.093207117355977,11,579.3550097942352,24
1,0.34290843806104127,0.36380255941499084,-6.093207117355977,2,12.852902889251709,3
1,0.34290843806104127,0.3241758241758242,5.462861745584247,3,25.608237504959106,4
1,0.34290843806104127,0.25504587155963304,25.622748450934235,3,38.370238065719604,7
1,0.34290843806104127,0.25504587155963304,25.622748450934235,4,51.03229904174805,8
1,0.34290843806104127,0.25183823529411764,26.55816907914998,5,63.72539663314819,9
1,0.34290843806104127,0.2578268876611418,24.811740090441887,6,76.42479133605957,10
1,0.34290843806104127,0.24723247232472326,27.901315662371278,7,89.17105484008789,13
1,0.34290843806104127,0.24953789279112754,27.229001945205212,8,101.76134610176086,14
1,0.34290843806104127,0.2462962962962963,28.17432615861935,8,114.31309342384338,17
1,0.34290843806104127,0.2462962962962963,28.17432615861935,9,126.79869389533997,18
1,0.34290843806104127,0.24118738404452691,29.664202663454713,10,139.28547143936157,19
1,0.34290843806104127,0.26022304832713755,24.1129644407248,10,151.73302483558655,22
1,0.34290843806104127,0.26022304832713755,24.1129644407248,10,191.82899284362793,25
1,0.34290843806104127,0.26022304832713755,24.1129644407248,10,238.3969464302063,28
1,0.34290843806104127,0.26022304832713755,24.1129644407248,10,283.5306704044342,31
1,0.34290843806104127,0.26022304832713755,24.1129644407248,11,295.7801344394684,33
1,0.34290843806104127,0.2532588454376164,26.143886435208195,11,477.13721442222595,36
2,0.34290843806104127,0.2532588454376164,26.143886435208195,1,12.970295667648315,4
2,0.34290843806104127,0.2532588454376164,26.143886435208195,2,25.87096333503723,6
2,0.34290843806104127,0.2126865671641791,37.97569742908494,2,38.7233943939209,9
2,0.34290843806104127,0.2126865671641791,37.97569742908494,3,51.5252571105957,11
2,0.34290843806104127,0.21495327102803738,37.31467436512207,3,64.29095649719238,14
2,0.34290843806104127,0.21495327102803738,37.31467436512207,4,76.96877002716064,17
2,0.34290843806104127,0.20973782771535582,38.83561778143812,5,89.60336303710938,19
2,0.34290843806104127,0.2101313320825516,38.72086284294175,6,102.16928482055664,20
2,0.34290843806104127,0.20488721804511278,40.250167303074434,6,114.76102685928345,23
2,0.34290843806104127,0.20488721804511278,40.250167303074434,6,127.26088643074036,26
2,0.34290843806104127,0.20488721804511278,40.250167303074434,7,139.75362730026245,29
2,0.34290843806104127,0.22033898305084745,35.744076670512015,8,152.1695466041565,32
2,0.34290843806104127,0.19811320754716982,42.22562481477822,8,167.21524596214294,35
2,0.34290843806104127,0.19811320754716982,42.22562481477822,9,179.49713158607483,37
2,0.34290843806104127,0.2003780718336484,41.565138213956985,10,191.72522401809692,38
2,0.34290843806104127,0.20075757575757575,41.454466127241,10,236.0153613090515,41
2,0.34290843806104127,0.20075757575757575,41.454466127241,10,322.75943088531494,44
2,0.34290843806104127,0.20075757575757575,41.454466127241,10,334.9892535209656,47
2,0.34290843806104127,0.20075757575757575,41.454466127241,11,347.1771082878113,49
2,0.34290843806104127,0.1954459203036053,43.00346722036222,11,648.4117023944855,52
