Day,initial MSE,MSE,score,t-waypoints scheduled,total_time_sec,nodes_expanded
0,0.3859964093357271,0.3859964093357271,0.0,2,14.605875968933105,3
0,0.3859964093357271,0.1672661870503597,56.66638781997658,3,29.349615335464478,4
0,0.3859964093357271,0.13513513513513514,64.99057196731616,4,44.13656544685364,5
0,0.3859964093357271,0.08483754512635379,78.02115691377719,5,59.14562153816223,6
0,0.3859964093357271,0.07414104882459313,80.79229572311704,6,74.09267663955688,7
0,0.3859964093357271,0.07065217391304347,81.69615773508595,7,89.00750923156738,8
0,0.3859964093357271,0.07078039927404718,81.66293842063058,8,103.64617419242859,9
0,0.3859964093357271,0.06545454545454546,83.04270613107823,9,118.21672892570496,10
0,0.3859964093357271,0.051001821493624776,86.78696996653535,10,168.5263283252716,12
0,0.3859964093357271,0.04927007299270073,87.23561364793753,10,554.5556800365448,15
1,0.3859964093357271,0.04927007299270073,87.23561364793753,2,14.697288513183594,2
1,0.3859964093357271,0.04753199268738574,87.68589770843077,3,29.382558822631836,3
1,0.3859964093357271,0.04395604395604396,88.6123179146435,4,44.06275653839111,4
1,0.3859964093357271,0.04220183486238532,89.06678045658202,5,58.741177797317505,5
1,0.3859964093357271,0.04411764705882353,88.5704514363885,6,73.44868183135986,6
1,0.3859964093357271,0.0423572744014733,89.02651077133925,7,88.28079748153687,7
1,0.3859964093357271,0.04428044280442804,88.52827598043422,8,102.86755585670471,8
1,0.3859964093357271,0.04251386321626617,88.98594334350686,8,131.02495956420898,11
1,0.3859964093357271,0.04251386321626617,88.98594334350686,8,164.83989572525024,14
1,0.3859964093357271,0.04251386321626617,88.98594334350686,8,194.79099917411804,17
1,0.3859964093357271,0.04251386321626617,88.98594334350686,9,210.55052161216736,18
1,0.3859964093357271,0.046296296296296294,88.00602928509906,9,286.07094073295593,21
1,0.3859964093357271,0.046296296296296294,88.00602928509906,9,377.74314427375793,24
1,0.3859964093357271,0.046296296296296294,88.00602928509906,9,457.47348642349243,27
2,0.3859964093357271,0.046296296296296294,88.00602928509906,2,14.854192733764648,2
2,0.3859964093357271,0.04452690166975881,88.464425939509,3,29.61224913597107,3
2,0.3859964093357271,0.04460966542750929,88.44298435203598,4,44.147594690322876,4
2,0.3859964093357271,0.0446927374301676,88.42146290762635,5,58.62694430351257,5
2,0.3859964093357271,0.04477611940298507,88.39986115931967,6,73.13838481903076,6
2,0.3859964093357271,0.044859813084112146,88.37817865681374,7,87.60431814193726,7
2,0.3859964093357271,0.04681647940074907,87.8712655692013,8,102.0243034362793,8
2,0.3859964093357271,0.04690431519699812,87.84850996989398,8,147.5260510444641,11
2,0.3859964093357271,0.04690431519699812,87.84850996989398,8,192.31103658676147,14
2,0.3859964093357271,0.04690431519699812,87.84850996989398,8,237.1770203113556,17
2,0.3859964093357271,0.04690431519699812,87.84850996989398,8,273.7694044113159,20
2,0.3859964093357271,0.04690431519699812,87.84850996989398,8,328.38223457336426,23
2,0.3859964093357271,0.04690431519699812,87.84850996989398,8,361.37764143943787,26
2,0.3859964093357271,0.04690431519699812,87.84850996989398,9,374.9772427082062,27
2,0.3859964093357271,0.05075187969924812,86.85172232907853,10,437.58972239494324,29
